,llave,cant_indiv,coef,ciudad_origen,tipo,edad_mediana,rango_edad,estrato,ingreso_hogar,rango_ingreso_hog,estado_civ,nivel_edu,viajo,interno,cuantos_int,depto_dest,mpio_dest,fecha_ini,fecha_fin,pernoct,motivo_int,alojamiento,med_transp,gasto_tot,motivo_no,gast_aloj,valgast_aloj,gast_public,valgast_public,gast_alim,gast_aereo,valgast_aereo,excursion,excur_extranj,excur_int,excur_motiv,excur_deptodest,excur_mpiodest,excur_medtransp,excur_valgasttransp,excur_valgastpublic,excur_valgastalim,nombre_mpio_dest,coord_origen,lat_origen,lon_origen,coord_dest,lat_dest,lon_dest
274,3000267_1,1,0.0,Monteria,hombre,34.0,30_35,2,900000.0,1_2,soltero,superior_bachiller,si,si,1,Sucre,70221.0,1/01/2019 0:00,7/01/2019 0:00,6.0,vacaciones,,publico,600000.0,,si,60000.0,si,30000.0,si,no,,no,,,,,,,,,,COVEÑAS,"-75.887029,8.7558921",-75.887029,8.7558921,"-75.639789293312,9.41146205",-75.639789293312,9.41146205
280,3000272_1,5,0.8567775106944915,Monteria,familia,27.0,25_30,1,1100000.0,1_2,familia,superior_tecnico,si,si,2,Córdoba,23162.0,10/01/2019 0:00,12/01/2019 0:00,2.0,religion,,particular,55000.0,,no,,no,,no,no,,no,,,,,,,,,,CERETÉ,"-75.887029,8.7558921",-75.887029,8.7558921,"-75.8423945657266,8.8884178",-75.8423945657266,8.8884178
282,3000274_1,12,0.6864634003353711,Monteria,familia,32.0,30_35,1,900000.0,1_2,familia,media_bachiller,si,si,1,Sucre,70001.0,30/12/2018 0:00,23/01/2019 0:00,24.0,visita,,publico,,,no,,no,,no,no,,no,,,,,,,,,,SINCELEJO,"-75.887029,8.7558921",-75.887029,8.7558921,"-75.4329805907975,9.31542935",-75.4329805907975,9.31542935
288,3000280_1,6,0.7850918472263071,Monteria,familia,18.0,15_20,1,785000.0,0_1,familia,media_bachiller,si,si,1,Córdoba,23574.0,31/12/2018 0:00,2/01/2019 0:00,2.0,vacaciones,,publico,100000.0,,no,,si,10000.0,si,no,,no,,,,,,,,,,PUERTO ESCONDIDO,"-75.887029,8.7558921",-75.887029,8.7558921,"-76.2625983,9.0142629",-76.2625983,9.0142629
295,3000287_1,5,0.5241262210515691,Monteria,familia,22.0,20_25,1,2000000.0,2_3,familia,superior_bachiller,si,si,1,Córdoba,23807.0,16/01/2019 0:00,17/01/2019 0:00,1.0,visita,,publico,120000.0,,no,,no,,si,no,,no,,,,,,,,,,TIERRALTA,"-75.887029,8.7558921",-75.887029,8.7558921,"-76.2248678226981,7.84705275",-76.2248678226981,7.84705275
298,3000290_1,5,0.4608360344104357,Monteria,familia,29.0,25_30,1,700000.0,0_1,familia,media_bachiller,si,si,1,Sucre,70708.0,18/01/2019 0:00,20/01/2019 0:00,2.0,vacaciones,,publico,60000.0,,no,,no,,si,no,,no,,,,,,,,,,SAN MARCOS,"-75.887029,8.7558921",-75.887029,8.7558921,"-75.1307644,8.6618609",-75.1307644,8.6618609
302,3000294_1,5,0.5748738455819785,Quibdó,familia,29.0,25_30,1,650000.0,0_1,familia,superior_tecnico,si,si,1,Chocó,27050.0,5/01/2019 0:00,12/01/2019 0:00,7.0,visita,,publico,50000.0,,no,,no,,si,no,,si,no,si,Otros motivos,27.0,27425.0,Acuatico,,,5000.0,ATRATO,"-76.6540463,5.6845709",-76.6540463,5.6845709,"-76.8293706,6.5178226",-76.8293706,6.5178226
341,3000334_1,4,0.5286032853355975,Neiva,familia,36.0,35_40,2,2800000.0,3_5,familia,superior_posgrado,si,si,1,Magdalena,47001.0,27/12/2018 0:00,8/01/2019 0:00,12.0,visita,,particular,3000000.0,,si,500000.0,no,,si,no,,no,,,,,,,,,,SANTA MARTA,"-75.2794417696023,3.0332673",-75.2794417696023,3.0332673,"-73.8803519997939,11.08665565",-73.8803519997939,11.08665565
346,3000339_1,2,0.1111111111111111,Neiva,familia,22.0,20_25,2,850000.0,1_2,familia,media_bachiller,si,si,1,Huila,41298.0,28/12/2018 0:00,2/01/2019 0:00,5.0,vacaciones,,particular,200000.0,,no,,no,,si,no,,no,,,,,,,,,,GARZÓN,"-75.2794417696023,3.0332673",-75.2794417696023,3.0332673,"-75.5551444935525,2.1625835",-75.5551444935525,2.1625835
349,3000342_1,5,0.5056771129491165,Neiva,familia,22.0,20_25,2,1500000.0,1_2,familia,superior_bachiller,si,si,1,Valle del Cauca,76001.0,10/12/2018 0:00,13/01/2019 0:00,34.0,visita,,publico,500000.0,,no,,si,20000.0,si,no,,no,,,,,,,,,,CALI,"-75.2794417696023,3.0332673",-75.2794417696023,3.0332673,"-76.5324943,3.4517923",-76.5324943,3.4517923
